Q_ID,short_id,en,QTYPE,cat,el,esp,hr,ita,pt,slo,ro
11,common,"In your opinion, how common is body shaming on your social media?",single select,11. Com de freqüent creus que és la humiliació corporal a les teves xarxes socials?,"11. Κατά τη γνώμη σας, πόσο συχνό είναι το body shaming στα μέσα κοινωνικής δικτύωσης που χρησιμοποιείτε;",11. ¿Cómo de frecuente crees que es la humillación corporal en tus redes sociales?,"11. Koliko često, prema vašem mišljenju, ste se susreli sa slučajevima posramljivanja tijela ( body shaming) na društvenim mrežama?","11. Secondo te, quanto è comune il body shaming sui tuoi social media?","11. Na tua opinião, com que frequência vês body shaming nas tuas redes sociais?","11. Po vašem mnenju, kako pogosto se pojavlja „body shaming“ na vaših družbenih omrežjih?",11. Cât de frecvent apare body shaming  pe rețelele de socializare pe care le folosești?
12,target_groups,Which groups do you think are most frequently targeted by online body shaming?,ranking,12. Creus que alguns grups de persones són més propensos a rebre humiliació corporal ainternet?,12. Πιστεύετε ότι κάποιες από τις παρακάτω ομάδες είναι πιο πιθανό να αποτελέσουν στόχο online body shaming;,12. ¿Crees que algunos grupos de personas son más propensos a recibir la humillación corporal en internet?,12. Za koju skupinu smatrate da su najčešće mete online posramljivanja tijela (body shaming)?,12. Quali gruppi pensi siano più frequentemente bersaglio di body shaming online?,12. Quem achas que tem mais probabilidade de ser alvo de body shaming online?,"12. Menite, da so določene skupine bolj verjetno tarče spletnega „body shaminga“?",12. Crezi că următoarele grupuri sunt mai predispuse la online body shaming?
13,witnessed,Have you ever witnessed body shaming incidents online?,single select,13. Has presenciat humiliació corporal a internet?,13. Έχετε ποτέ παρατηρήσει body shaming στο διαδίκτυο;,13. ¿Alguna vez has presenciado humillación corporal en internet?,13. Jeste li ikada svjedočili online posramljivanju tijela (body shaming)?,13. Hai mai assistito a episodi di body shaming online?,13. Já passaste por body shaming online?,13. Ste že kdaj bili priča spletnemu „body shamingu“?,13. Ai fost vreodată martor la fenomenul de online body shaming?
14,experienced,Have you ever experienced body shaming online?,single select,14. Has patit humiliació corporal a internet?,14. Έχετε ποτέ βιώσει body shaming στο διαδίκτυο;,14. ¿Alguna vez has sufrido humillación corporal en internet?,14. Jeste li ikada doživjeli online posramljivanje tijela (body shaming)?,14. Hai mai subito episodi di body shaming online?,14. Já experienciaste body shaming online?,14. Ste že kdaj osebno doživeli spletno „body shaming“?,14. Ai experimentat vreodată  (personal) fenomenul de online body shaming?
15,encountered_social,What platform have you encountered body shaming on?,multi select,15. A quina/es plataforma/es has percebut humiliació corporal en línia?,15. Σε ποιά πλατφόρμα έχετε συναντήσει body shaming στο διαδίκτυο;,15. ¿En qué plataforma/s has percibido humillación corporal en internet?,15. Na kojim ste se platformama susreli s posramljivanjem tijela (body shaming)?,"15. Se sì, su quali social hai vissuto o assistito a episodi di body shaming?",15. Em que plataformas já se deparou com o body shaming?,15. Na kateri platformi ste se srečali s spletnim „body shamingom“?,15. Pe ce platforme ai întâlnit online body shaming?
16,encountered_forms,What form of body shaming have you encountered?,multi select,16. Quina situació relacionada amb la humiliació corporal a internet has experimentat o presenciat?,16. Τι μορφή body shaming έχετε συναντήσει;,16. ¿Qué situaciones relacionadas con la humillación corporal en internet has presenciado o experimentado?,16. U kojem obliku ste naišli na posramljivanje tijela (body shaming)?,16. A quali forme di body shaming hai assistito?,16. Que tipo de body shaming viste ou experienciaste?,16. V kakšni obliki ste naleteli na „body shaming“?,16. Ai făcut vreodată una dintre următoarele activități online?
17,encountered_reaction,"If you have ever witnessed or experienced online body shaming, how did you react?",multi select,"17. Si has presenciat o experimentat humiliació corporal a internet, com has reaccionat","17. Εάν έχετε παρατηρήσει ή έχετε βιώσει online body shaming, πώς αντιδράσατε;","17. Si has sufrido o visto humillación corporal en internet, ¿cómo reaccionaste?","17. Ako ste svjedočili ili doživjeli online posramljivanje tijela, kako ste reagirali?","17. Se hai vissuto o assistito al body shaming online, come hai reagito","17. Se viste ou passaste por body shaming online, como reagiste?","17. Če ste bili kdaj priča ali doživeli spletni „body shaming“, kako ste reagirali?","17. În cazul în care ai experimentat sau ai fost martor la fenomenul de online body shaming, cum ai reacționat?"
18,associated_words,What kind of words have you encountered that you would consider to be body shaming?,free text,18. Quines paraules consideres que són exemple d’humiliació corporal?,18. Ποιες λέξεις έχετε συναντήσει που θεωρείτε ότι αποτελούν/σχετίζονται με το body shaming;,18. ¿Qué palabras consideras que pueden ser un ejemplo de humillación corporal en internet?,18. S kojim riječima koje predstavljaju posramljivanje tijela ste se dosad susreli?,18. Quali parole hai incontrato che considereresti body shaming?,18. Que palavras já encontraste nas redes sociais que achas que são body shaming?,"18. Katere besede ste srečali, ki jih smatrate kot „body shaming“?",18. Ce termeni/cuvinte/etichetări ai observat în fenomenul de body shaming?
19,impact_mental_health,"To what extent do you think that online body shaming can affect mental health (Examples: I feel anxious about how others may perceive my body, I have negative thoughts about my body, I have self-esteem issues)",rating,"19. Fins a quin punt creus que la humiliació corporal a internet pot afectar la salut mental? (Exemples: Ansietat per com els altres perceben el meu cos, pensaments negatius sobre el meu cos, problemes d’autoestima,…)","19. Σε ποιο βαθμό πιστεύετε ότι το online body shaming μπορεί να επηρεάσει την ψυχική υγεία;  (Παραδείγματα: Ανησυχώ για το πώς οι άλλοι αντιλαμβάνονται το σώμα μου, έχω αρνητικές σκέψεις για το σώμα μου, αντιμετωπίζω θέματα αυτοεκτίμησης)","19. ¿En qué medida crees que la humillación corporal en internet afecta la salud mental? (Por ejemplo: ansiedad por como otros perciben tu cuerpo, pensamientos negativos sobre tu cuerpo, problemas de autoestima…):","19. U kojoj mjeri smatrate da online posramljivanje tijela može utjecati na mentalno zdravlje? (Primjeri: Osjećam tjeskobu zbog toga kako me drugi doživljavaju, imam negativne misli o svom tijelu, imam problema sa samopoštovanjem)","19. Quanto pensi che il body shaming online possa influire sulla salute mentale? (Es.: Provo ansia rispetto a come le altre persone percepiscono il mio corpo, ho pensieri negativi sul mio corpo, ho problemi di autostima)","19. Achas que o body shaming online afeta a saúde mental? (Exemplos: Fico ansioso/a com o que pensam sobre o meu corpo, tenho pensamentos negativos, tenho baixa autoestima):","19. V kolikšni meri menite, da lahko spletni „body shaming“ vpliva na duševno zdravje? (Primeri: občutki tesnobe glede dojemanja telesa, negativne misli o telesu, težave s samozavestjo)","19. În ce măsură crezi că body shaming online poate afecta sănătatea mentală? (De exemplu: Mă simt anxios/anxioasă despre cum mă percep ceilalți, am gânduri negative despre corpul meu, am probleme de stimă de sine)"
20,impact_physical_health,"To what extent do you think that online body shaming can affect physical health (Examples: I changed my eating habits, I started working out excessively, I make effort to change my appearance by using make-up)",rating,"20. Fins a quin punt creus que la humiliació corporal a internet pot afectar la salut física? (Exemples: Canvi en els hàbits alimentaris, exercici excessiu, ús de maquillatge per canviar l’aparença,…)","20. Σε ποιο βαθμό πιστεύετε ότι το online body shaming μπορεί να επηρεάσει τη σωματική υγεία;  (Παραδείγματα: Άλλαξα τις διατροφικές μου συνήθειες, ξεκίνησα να γυμνάζομαι υπερβολικά, προσπαθώ να αλλάξω την εμφάνισή μου με τη χρήση μακιγιάζ)","20. ¿En qué medida crees que la humillación corporal en internet afecta la salud física? (Por ejemplo: cambios en hábitos alimenticios, ejercicio excesivo, uso de maquillaje para cambiar la apariencia).","20. U kojoj mjeri smatrate da online posramljivanje tijela može utjecati na fizičko zdravlje? Primjeri: Promijenio/la sam svoje prehrambene navike, počeo/la sam pretjerano vježbati, trudim se promijeniti svoj izgled koristeći šminku.","20. Quanto pensi che il body shaming online possa influire sulla salute fisica? (Es.: Ho cambiato le mie abitudini alimentari, ho iniziato a fare attività fisica in modo eccessivo, mi sforzo di cambiare il mio aspetto truccandomi)","20. Achas que o body shaming online afeta a saúde física? (Exemplos: Mudei os meus hábitos alimentares, comecei a treinar demasiado, uso maquilhagem para mudar a aparência):","20. V kolikšni meri menite, da lahko spletni „body shaming“ vpliva na fizično zdravje? (Primeri: sprememba prehranjevalnih navad, pretirana vadba, trud za spremembo videza z ličenjem)","20. În ce măsură crezi că body shaming online poate afecta sănătatea fizică? (De exemplu: Mi-am schimbat obiceiurile alimentare, am început să fac sport excesiv, fac eforturi să îmi schimb aspectul prin machiaj)"
21,impact_social_behavior,"To what extent do you think that online body shaming can affect social behaviour (Examples: I avoid eating in public, I dress differently, I use filters/ photoshop my photos, I avoid being photographed, I do body-checking more often)",rating,"21. Fins a quin punt creus que la humiliació corporal a internet pot afectar el comportament social? (Exemples: Evitar menjar en públic, vestir diferent, utilitzar filtres/photoshop, evitar que et facin fotos, revisar constantment el cos,…)","21. Σε ποιο βαθμό πιστεύετε ότι το online body shaming μπορεί να επηρεάσει την κοινωνική συμπεριφορά;  (Παραδείγματα: Αποφεύγω να τρώω δημόσια, ντύνομαι διαφορετικά, χρησιμοποιώ φίλτρα/photoshop στις φωτογραφίες μου, αποφεύγω να φωτογραφίζομαι, με απασχολεί πιο συχνά η εικόνα του σώματος μου)","21. ¿En qué medida crees que la humillación corporal en internet afecta el comportamiento social? (Por ejemplo: evitar comer en público, cambiar la forma de vestir, usar filtros en fotos, evitar que te fotografíen, revisar constantemente tu cuerpo…).","21. U kojoj mjeri smatrate da online posramljivanje tijela može utjecati na ponašanje u društvu? Primjeri: Izbjegavam jesti u javnosti, odijevam se drugačije, koristim filtre/Photoshop na svojim fotografijama, izbjegavam fotografiranje, češće provjeravam svoje tijelo.","21. Quanto pensi che il body shaming online possa influire sul comportamento sociale? (Es.: Evito di mangiare in pubblico, mi vesto in modo diverso, uso filtri/photoshop per le mie foto, evito di comparire nelle foto, controllo il mio corpo più frequentemente)","21. Achas que o body shaming online afeta o comportamento social? (Exemplos: Evito comer em público, visto-me de forma diferente, uso filtros/photoshop, evito tirar fotos, verifico mais o meu corpo):","21. V kolikšni meri menite, da lahko spletni „body shaming“ vpliva na socialno vedenje? (Primeri: izogibanje prehranjevanju v javnosti, drugačen način oblačenja, uporaba filtrov/Photoshopa, izogibanje fotografiranju, pogostejše preverjanje telesa)","21. În ce măsură crezi că online body shaming poate afecta comportamentul social? (de exemplu: Evit să mănânc în public, mă îmbrac diferit, folosesc filtre/Photoshop în poze, evit să fiu fotografiat/ fotografiată, îmi verific frecvent corpul)"
22,address_phenomenon,Do you think the phenomenon of online body shaming should be addressed?,single select,22. Creus que s’haurien de prendre mesures per abordar el fenomen de la humiliació corporal a internet?,22. Πιστεύετε ότι το φαινόμενο του online body shaming πρέπει να αντιμετωπιστεί;,22. ¿Crees que se deberían tomar medidas en torno al fenómeno de la humillación corporal en internet?,22. Smatrate li da bi se na fenomen online posramljivanja tijela trebalo reagirati?,22. Pensi che il fenomeno del body shaming online debba essere affrontato?,22. Achas que o problema do body shaming online deve ser discutido?,"22. Menite, da bi bilo treba problem spletnega „body shaminga“ nasloviti?",22. Crezi că fenomenul de online body shaming ar trebui abordat?
23,social_do_enough,Do you think social media platforms do enough to combat body shaming?,single select,23. Creus que les plataformes de xarxes socials fan suficient per combatre la humiliació corporal a internet?,23. Πιστεύετε ότι οι πλατφόρμες κοινωνικής δικτύωσης κάνουν αρκετά για να καταπολεμήσουν το body shaming;,23. ¿Crees que las plataformas de redes sociales hacen lo suficiente para combatir la humillación corporal en internet?,23. Smatrate li da društvene mreže i platforme čine dovoljno kako bi se borile protiv posramljivanja tijela?,23. Pensi che le piattaforme social facciano abbastanza per combattere il body shaming?,23. Achas que as redes sociais fazem o suficiente para combater o body shaming?,"23. Menite, da družbena omrežja storijo dovolj za boj proti „body shamingu“?",23. Crezi că platformele de social media se implică suficient în combaterea body shaming?
24,taken_stance,Have you ever spoken out against online body shaming?,single select,24. Has alçat mai la veu contra la humiliació corporal a internet?,24. Έχετε επικρίνει τις πρακτικές του online body shaming;,24. ¿Alguna vez has hablado en contra de la humillación corporal en internet?,24. Jeste li se ikada javno zauzeli protiv online posramljivanja tijela?,24. Hai mai preso posizione contro il body shaming online?,24. Alguma vez te manifestaste contra o body shaming online?,24. Ste že kdaj javno spregovorili proti spletnemu „body shamingu“?,24. Ai luat atitudine împotriva body shaming online?
25,who_turn_to,Who do you think someone who experienced online body shaming should talk to for support?,multi select,25. A qui creus que hauria d’acudir algú que ha experimentat humiliació corporal a internet?,25. Πιστεύετε ότι κάποιος που βίωσε online body shaming θα μπορούσε να μιλήσει σε κάποιον για υποστήριξη;,25. ¿A quién crees que debería acudir alguien que ha sufrido la humillación corporal en internet para buscar apoyo?,"25. Što mislite, kome bi se osoba koja je doživjela online posramljivanje tijela trebala obratiti za podršku","25. Secondo te, a chi dovrebbe rivolgersi una persona che ha subito body shaming online per ricevere supporto?","25. Na tua opinião, quem deve ajudar alguém que passou por body shaming online?","25. Na koga bi se po vašem mnenju morala oseba, ki je doživela spletni „body shaming“ , obrniti?",25. Cine crezi că ar trebui să sprijine o persoană care a experimentat body shaming online?
26,what_actions_support,What actions do you think should be taken to support someone who experienced online body shaming?,multi select,26. Què creus que s'hauria de fer per ajudar algú que ha experimentat humiliació corporal a internet?,26. Τι ενέργειες πιστεύετε ότι πρέπει να γίνουν για να υποστηριχθεί κάποιος που βίωσε online body shaming;,26. ¿Qué acciones crees que se deberían tomar para apoyar a alguien que ha sufrido la humillación corporal en internet?,"26. Što mislite, koje bi akcije trebalo poduzeti kako bi se pružilo podršku osobama koje su doživjele online posramljivanje tijela?",26. Quali azioni pensi dovrebbero essere prese per supportare chi ha vissuto il body shaming online?,26. Que medidas achas que deviam ser tomadas para ajudar quem sofreu body shaming online?,"26. Katere ukrepe bi morali sprejeti za podporo osebam, ki so doživele spletni „body shaming“?",26. Ce acțiuni crezi că ar trebui luate pentru a sprijini o persoană care a experimentat body shaming online?
27,other_thoughts,Would you like to share any thoughts or experiences related to this issue?,free text,27. T’agradaria compartir alguna reflexió o experiència relacionada amb aquest tema?,27. 9.	Θα θέλατε να μοιραστείτε οποιεσδήποτε σκέψεις ή εμπειρίες σχετικά με αυτό το ζήτημα;,27. ¿Te gustaría compartir algún pensamiento o experiencia relacionada con este tema?,27. Želite li podijeliti bilo kakve misli ili iskustva vezana uz ovu temu?,27. Vorresti condividere pensieri o esperienze relative a questo argomento?,27. Queres partilhar algum pensamento ou experiência sobre este tema?,"27. Bi želeli deliti kakšne misli ali izkušnje, povezane s to temo?",27. Ai dori să împărtășești gânduri sau experiențe legate de acest subiect?
